Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Trey Nyoni,eng ENG,MF,18-080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Squad Total,,,27.1,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,8.0,0.0,6.0,5.3,4.7,10.0,106.0,186.0,185.0,2.25,1.5,3.75,2.0,3.5,1.5,1.19,2.68,1.31,2.5,,Liverpool
Opponent Total,,,27.0,4,44,360.0,4.0,4.0,3.0,7.0,4.0,0.0,0.0,8.0,2.0,3.3,3.3,2.5,5.8,53.0,83.0,80.0,1.0,0.75,1.75,1.0,1.75,0.82,0.64,1.46,0.82,1.46,,Liverpool
Gabriel Magalhães,br BRA,DF,27-273,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Arsenal
David Raya,es ESP,GK,30-003,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal
Martín Zubimendi,es ESP,MF,26-228,4,4,360.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,15.0,4.0,0.5,0.0,0.5,0.5,0.5,0.05,0.01,0.06,0.05,0.06,Matches,Arsenal
Viktor Gyökeres,se SWE,FW,27-106,4,4,306.0,3.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.1,1.3,0.1,1.5,1.0,2.0,19.0,0.88,0.0,0.88,0.59,0.59,0.62,0.04,0.67,0.39,0.44,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,23-122,4,4,291.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.5,1.9,10.0,11.0,16.0,0.31,0.62,0.93,0.31,0.93,0.44,0.15,0.59,0.44,0.59,Matches,Arsenal
Declan Rice,eng ENG,MF,26-247,4,3,285.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.7,7.0,13.0,1.0,0.0,0.32,0.32,0.0,0.32,0.05,0.16,0.21,0.05,0.21,Matches,Arsenal
Jurriën Timber,nl NED,DF,24-093,4,3,263.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.3,7.0,20.0,8.0,0.68,0.34,1.03,0.68,1.03,0.38,0.06,0.44,0.38,0.44,Matches,Arsenal
Noni Madueke,eng ENG,FW,23-192,4,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,1.0,15.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.05,0.29,0.34,0.05,0.34,Matches,Arsenal
William Saliba,fr FRA,DF,24-178,3,3,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Martin Ødegaard,no NOR,MF,26-275,4,3,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,8.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",29-088,3,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,Arsenal
Bukayo Saka,eng ENG,FW,24-013,2,2,142.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,5.0,2.0,15.0,0.63,0.0,0.63,0.63,0.63,0.16,0.07,0.23,0.16,0.23,Matches,Arsenal
Gabriel Martinelli,br BRA,FW,24-092,3,2,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Arsenal
Cristhian Mosquera,es ESP,DF,21-083,3,1,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
