Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Hamed Junior Traorè,ci CIV,MF,25-214,1,0,17.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,5.29,5.29,0.0,5.29,0.0,1.1,1.1,0.0,1.1,Matches,Bournemouth
Eli Junior Kroupi,fr FRA,"FW,MF",19-087,3,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Ben Winterburn,eng ENG,MF,21-014,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Lewis Cook,eng ENG,MF,28-227,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Álex Jiménez,es ESP,DF,20-133,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Julio Soler,ar ARG,FW,20-214,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Julian Araujo,mx MEX,DF,24-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Philip Billing,dk DEN,MF,29-099,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Will Dennis,eng ENG,GK,25-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Ben Doak,sct SCO,"FW,MF",19-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Romain Faivre,fr FRA,"FW,MF",27-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Remy Rees-Dottin,eng ENG,FW,19-196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Squad Total,,,26.1,4,44,360.0,4.0,6.0,5.0,11.0,5.0,1.0,1.0,12.0,0.0,6.0,5.2,4.5,9.6,59.0,127.0,126.0,1.5,1.25,2.75,1.25,2.5,1.49,1.11,2.6,1.29,2.41,,Bournemouth
Opponent Total,,,27.1,4,44,360.0,4.0,5.0,4.0,9.0,5.0,0.0,0.0,11.0,1.0,3.5,3.5,2.9,6.4,64.0,133.0,131.0,1.25,1.0,2.25,1.25,2.25,0.86,0.73,1.59,0.86,1.59,,Bournemouth
Moisés Caicedo,ec ECU,MF,23-320,4,4,360.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,4.0,25.0,2.0,0.5,0.0,0.5,0.5,0.5,0.1,0.0,0.1,0.1,0.1,Matches,Chelsea
Robert Sánchez,es ESP,GK,27-304,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Pedro Neto,pt POR,FW,25-193,4,4,350.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,1.4,18.0,14.0,39.0,0.26,0.0,0.26,0.26,0.26,0.14,0.23,0.37,0.14,0.37,Matches,Chelsea
Enzo Fernández,ar ARG,MF,24-244,4,4,348.0,3.9,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.9,1.1,0.7,1.9,5.0,19.0,16.0,0.52,0.26,0.78,0.26,0.52,0.5,0.19,0.69,0.29,0.48,Matches,Chelsea
Trevoh Chalobah,eng ENG,DF,26-075,4,4,338.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,6.0,22.0,0.0,0.27,0.0,0.27,0.27,0.27,0.15,0.0,0.15,0.15,0.15,Matches,Chelsea
João Pedro,br BRA,"FW,MF",23-357,4,4,330.0,3.7,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.2,2.7,6.0,10.0,26.0,0.55,0.82,1.36,0.55,1.36,0.41,0.33,0.74,0.41,0.74,Matches,Chelsea
Marc Cucurella,es ESP,DF,27-058,4,3,293.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.0,7.0,17.0,14.0,0.0,0.31,0.31,0.0,0.31,0.05,0.24,0.29,0.05,0.29,Matches,Chelsea
Tosin Adarabioyo,eng ENG,DF,27-359,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Estêvão Willian,br BRA,FW,18-147,3,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.9,7.0,3.0,19.0,0.0,0.5,0.5,0.0,0.5,0.49,0.44,0.93,0.49,0.93,Matches,Chelsea
Malo Gusto,fr FRA,DF,22-122,3,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Chelsea
Jamie Gittens,eng ENG,FW,21-041,4,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.15,0.07,0.15,Matches,Chelsea
Liam Delap,eng ENG,FW,22-222,3,2,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Chelsea
Reece James,eng ENG,DF,25-284,4,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.3,0.34,0.04,0.34,Matches,Chelsea
Cole Palmer,eng ENG,MF,23-135,2,1,125.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,9.0,10.0,14.0,0.72,0.0,0.72,0.72,0.72,0.58,0.02,0.6,0.58,0.6,Matches,Chelsea
Joshua Acheampong,eng ENG,DF,19-136,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Chelsea
Wesley Fofana,fr FRA,DF,24-275,2,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Jorrel Hato,nl NED,DF,19-195,2,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Facundo Buonanotte,ar ARG,MF,20-269,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches,Chelsea
Tyrique George,eng ENG,FW,19-226,2,0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Chelsea
Andrey Santos,br BRA,MF,21-138,3,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.54,0.1,0.65,0.54,0.65,Matches,Chelsea
Alejandro Garnacho,ar ARG,FW,21-079,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,Matches,Chelsea
Dario Essugo,pt POR,MF,20-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Filip Jørgensen,dk DEN,GK,23-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Gaga Slonina,us USA,GK,21-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Squad Total,,,24.4,4,44,360.0,4.0,9.0,6.0,15.0,8.0,1.0,1.0,7.0,0.0,7.7,6.9,5.6,12.5,84.0,175.0,174.0,2.25,1.5,3.75,2.0,3.5,1.92,1.4,3.32,1.73,3.12,,Chelsea
Opponent Total,,,27.2,4,44,360.0,4.0,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.7,3.7,3.2,6.9,43.0,94.0,92.0,0.75,0.75,1.5,0.75,1.5,0.93,0.8,1.72,0.93,1.72,,Chelsea
Kiernan Dewsbury-Hall,eng ENG,MF,27-012,4,4,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,1.6,1.7,6.0,24.0,14.0,0.25,0.25,0.5,0.25,0.5,0.03,0.39,0.42,0.03,0.42,Matches,Everton
James Garner,eng ENG,"DF,MF",24-189,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.8,2.0,19.0,6.0,0.25,0.0,0.25,0.25,0.25,0.04,0.17,0.21,0.04,0.21,Matches,Everton
Michael Keane,eng ENG,DF,32-250,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches,Everton
Jake O'Brien,ie IRL,DF,24-126,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,3.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,Everton
Jordan Pickford,eng ENG,GK,31-195,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
James Tarkowski,eng ENG,DF,32-303,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,Everton
Idrissa Gana Gueye,sn SEN,MF,35-357,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.6,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,Everton
Iliman Ndiaye,sn SEN,FW,25-196,4,4,332.0,3.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.8,10.0,5.0,18.0,0.54,0.0,0.54,0.54,0.54,0.35,0.13,0.48,0.35,0.48,Matches,Everton
Jack Grealish,eng ENG,FW,30-008,4,3,286.0,3.2,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,2.0,2.4,25.0,13.0,29.0,0.0,1.26,1.26,0.0,1.26,0.13,0.62,0.74,0.13,0.74,Matches,Everton
Beto,gw GNB,FW,27-230,4,3,266.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.2,2.0,1.0,2.0,13.0,0.34,0.0,0.34,0.34,0.34,0.61,0.06,0.67,0.61,0.67,Matches,Everton
Tim Iroegbunam,eng ENG,MF,22-080,4,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Everton
Carlos Alcaraz,ar ARG,"FW,MF",22-292,3,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Everton
Thierno Barry,fr FRA,"FW,MF",22-332,4,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,Everton
Vitaliy Mykolenko,ua UKR,DF,26-112,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Merlin Röhl,de GER,MF,23-075,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.36,0.1,0.36,Matches,Everton
Dwight McNeil,eng ENG,FW,25-300,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,0.64,1.74,1.1,1.74,Matches,Everton
Harrison Armstrong,eng ENG,FW,18-242,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Séamus Coleman,ie IRL,FW,36-342,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Adam Aznou,ma MAR,DF,19-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Elijah Campbell,eng ENG,DF,21-047,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Youssef Chermiti,pt POR,FW,21-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Tyler Dibling,eng ENG,MF,19-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Tyler Onyango,eng ENG,MF,22-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Nathan Patterson,sct SCO,DF,23-337,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Mark Travers,ie IRL,GK,26-123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Harry Tyrer,eng ENG,GK,23-286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Squad Total,,,28.4,4,44,360.0,4.0,5.0,5.0,10.0,5.0,0.0,0.0,10.0,0.0,6.3,6.3,5.4,11.6,56.0,123.0,123.0,1.25,1.25,2.5,1.25,2.5,1.57,1.34,2.91,1.57,2.91,,Everton
Opponent Total,,,26.9,4,44,360.0,4.0,3.0,2.0,5.0,2.0,1.0,2.0,6.0,0.0,5.9,4.5,3.4,7.9,53.0,142.0,141.0,0.75,0.5,1.25,0.5,1.0,1.48,0.85,2.33,1.12,1.97,,Everton
Trai Hume,nir NIR,DF,23-184,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,3.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Sunderland
Reinildo Mandava,mz MOZ,DF,31-240,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Robin Roefs,nl NED,GK,22-244,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Granit Xhaka,ch SUI,MF,32-356,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,2.0,27.0,4.0,0.0,0.25,0.25,0.0,0.25,0.01,0.07,0.08,0.01,0.08,Matches,Sunderland
Noah Sadiki,cd COD,MF,20-275,4,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,8.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Sunderland
Habib Diarra,sn SEN,MF,21-258,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,10.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,Matches,Sunderland
Chemsdine Talbi,ma MAR,FW,20-132,4,4,305.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,2.0,3.0,22.0,0.0,0.3,0.3,0.0,0.3,0.15,0.04,0.19,0.15,0.19,Matches,Sunderland
Omar Alderete,py PAR,DF,28-266,4,3,308.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,18.0,0.0,0.0,0.29,0.29,0.0,0.29,0.03,0.01,0.04,0.03,0.04,Matches,Sunderland
Simon Adingra,ci CIV,FW,23-260,4,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,5.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.25,Matches,Sunderland
Eliezer Mayenda,es ESP,FW,20-133,3,3,201.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,2.0,0.0,5.0,0.45,0.0,0.45,0.45,0.45,0.18,0.11,0.29,0.18,0.29,Matches,Sunderland
Nordi Mukiele,fr FRA,DF,27-321,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,Sunderland
Daniel Ballard,nir NIR,DF,25-361,2,2,98.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.0,1.0,0.0,0.92,0.0,0.92,0.92,0.92,0.17,0.28,0.45,0.17,0.45,Matches,Sunderland
Wilson Isidor,fr FRA,FW,25-022,4,1,158.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,3.0,7.0,1.14,0.0,1.14,1.14,1.14,0.22,0.0,0.22,0.22,0.22,Matches,Sunderland
Jenson Seelt,nl NED,DF,22-118,2,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Enzo Le Fée,fr FRA,"FW,MF",25-227,3,1,133.0,1.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.2,0.2,2.0,3.0,14.0,0.68,0.0,0.68,0.0,0.0,0.56,0.14,0.7,0.03,0.17,Matches,Sunderland
Patrick Roberts,eng ENG,"MF,FW",28-225,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Sunderland
Brian Brobbey,nl NED,FW,23-229,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Marc Guiu,es ESP,FW,19-257,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Sunderland
Lutsharel Geertruida,nl NED,MF,25-062,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Chris Rigg,eng ENG,FW,18-092,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sunderland
Harrison Jones,eng ENG,MF,20-267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Arthur Masuaku,cd COD,"DF,MF",31-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Dan Neil,eng ENG,MF,23-279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Anthony Patterson,eng ENG,GK,25-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Bertrand Traoré,bf BFA,"FW,MF",30-012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sunderland
Squad Total,,,25.0,4,44,360.0,4.0,5.0,3.0,8.0,4.0,1.0,1.0,5.0,0.0,3.4,2.7,2.1,4.7,57.0,141.0,141.0,1.25,0.75,2.0,1.0,1.75,0.86,0.51,1.37,0.66,1.18,,Sunderland
Opponent Total,,,26.9,4,44,360.0,4.0,3.0,3.0,6.0,3.0,0.0,1.0,4.0,0.0,4.5,3.7,2.8,6.5,49.0,153.0,150.0,0.75,0.75,1.5,0.75,1.5,1.13,0.7,1.83,0.93,1.63,,Sunderland
Tijjani Reijnders,nl NED,MF,27-051,4,4,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,8.0,17.0,19.0,0.25,0.25,0.5,0.25,0.5,0.17,0.08,0.25,0.17,0.25,Matches,Manchester-City
Erling Haaland,no NOR,FW,25-059,4,4,338.0,3.8,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.7,5.7,0.9,6.6,7.0,4.0,11.0,1.33,0.0,1.33,1.33,1.33,1.53,0.23,1.76,1.53,1.76,Matches,Manchester-City
Rúben Dias,pt POR,DF,28-127,4,3,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
James Trafford,eng ENG,GK,22-343,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
John Stones,eng ENG,DF,31-113,3,3,261.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
Bernardo Silva,pt POR,MF,31-039,4,3,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.6,1.7,7.0,10.0,18.0,0.0,0.35,0.35,0.0,0.35,0.02,0.57,0.58,0.02,0.58,Matches,Manchester-City
Oscar Bobb,no NOR,"FW,MF",22-068,4,3,258.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,10.0,10.0,33.0,0.0,0.35,0.35,0.0,0.35,0.1,0.13,0.23,0.1,0.23,Matches,Manchester-City
Rayan Aït-Nouri,dz ALG,DF,24-104,3,3,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches,Manchester-City
Jeremy Doku,be BEL,"MF,FW",23-114,4,2,197.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,18.0,3.0,22.0,0.0,0.91,0.91,0.0,0.91,0.0,0.77,0.77,0.0,0.77,Matches,Manchester-City
Abdukodir Khusanov,uz UZB,DF,21-201,3,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
Rodri,es ESP,MF,29-088,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,Manchester-City
Nicolás González,es ESP,MF,23-258,3,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Manchester-City
Rico Lewis,eng ENG,DF,20-301,3,2,161.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,16.0,9.0,0.0,0.56,0.56,0.0,0.56,0.01,0.56,0.58,0.01,0.58,Matches,Manchester-City
Omar Marmoush,eg EGY,"FW,MF",26-223,3,2,149.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.8,7.0,5.0,14.0,0.0,0.6,0.6,0.0,0.6,0.5,0.58,1.08,0.5,1.08,Matches,Manchester-City
